Tree_Label,Phylum,SS,A,G,O,T,V,C,F,K,M,S
Coll_Paron,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Podur,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Smint,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Tomoc,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Tullb,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coracias_caudata,Chordata ,0,0,0,0,0,0,0,0,0,0,0
Corallimorpharia,Cnidaria,0,0,0,0,0,0,0,0,0,0,0
Corbicula,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Corinnidae,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Crepidula,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Cristatell,Bryozoa ,0,0,0,0,0,0,0,0,0,0,0
Ctenotus_robustus,Chordata ,1,0,0,0,1,0,1,0,0,0,0
Cubozoa,Cnidaria,0,0,0,0,0,0,0,0,0,0,0
Cyathermi,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Cyclocosmia,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Daphniamag,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
deino,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Dentalium,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Depressig,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Der_Anisol,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Der_Apachy,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Der_Chelis,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Der_Forfic,Arthropoda ,1,0,0,0,1,1,1,1,0,0,0
Der_Labidu,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Der_Labiid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Der_Pygidi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Acartop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Acrocer,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Agromyz,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
Di_Anisop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Anthomyi,Arthropoda ,1,0,0,0,1,1,0,1,0,0,0
Di_Anthomyz,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Apiocer,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Apsiloc,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Asilida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Asteiid,Arthropoda ,1,0,1,0,0,0,0,1,0,0,0
Di_Atelest,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Atheric,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Aulacig,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Austral,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Austrol,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Axymyii,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Bibioni,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Di_Blephar,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Bombyli,Arthropoda ,1,0,0,0,1,0,0,1,0,0,0
Di_Braulid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Calliph,Arthropoda ,1,0,0,0,1,0,1,1,0,0,0
Di_Canthy,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Carnida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Cecidom,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
Di_Ceratop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Chaobor,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Chirono,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Di_Chlorop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Chyromy,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Clusiid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Coelopi,Arthropoda ,1,0,0,0,1,0,0,0,0,0,1
Di_Conopid,Arthropoda ,1,0,0,0,1,0,1,1,0,0,0
Di_Corethr,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Culicid,Arthropoda ,1,0,0,0,0,1,0,0,0,1,0
Di_Deutero,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Diadoci,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Diopsid,Arthropoda ,1,0,0,0,0,1,1,1,0,0,0
Di_Dixidae,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Dolicho,Arthropoda ,1,0,0,0,0,1,1,1,0,0,0
Di_Drosoph,Arthropoda ,1,1,0,1,1,1,1,1,0,0,1
Di_Dryomyz,Arthropoda ,1,0,0,0,1,0,0,1,0,0,0
Di_Empidid,Arthropoda ,1,0,1,0,0,1,0,1,0,1,0
Di_Ephydri,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Fanniid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Ferguso,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Glossin,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Helcomy,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Helosci,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Hesperi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Heteroc,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Hilarim,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Hippobo,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Hybotid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Keropla,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Lauxani,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Lonchae,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Lonchop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Lygisto,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Margin,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Micrope,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Milichi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Muscida,Arthropoda ,1,0,0,0,1,1,0,1,0,1,0
Di_Mycetop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Mydidae,Arthropoda ,1,0,0,0,1,1,1,0,0,0,0
Di_Mythico,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Nemestr,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Neuroch,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Nycteri,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Odiniid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Oestrid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Opomyzi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Pachyne,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Pallopt,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Pelecor,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Perisce,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Perisso,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Phorida,Arthropoda ,1,0,0,0,1,1,1,1,0,0,0
Di_Piophil,Arthropoda ,1,0,0,0,0,1,0,1,0,0,0
Di_Pipuncu,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Platype,Arthropoda ,1,0,0,0,1,1,0,1,0,0,0
Di_Platyst,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Di_Pleciid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Psilida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Psychod,Arthropoda ,1,0,0,0,1,1,0,1,0,0,0
Di_Ptychop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Pyrgoti,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Rhagion,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Rhinoph,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Richar,Arthropoda ,1,0,0,0,1,1,1,1,1,0,0
Di_Sarcoph,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Scathop,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Di_Scatops,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Scenopi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Sciadoc,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Sciarid,Arthropoda ,1,0,0,0,1,0,0,1,0,0,0
Di_Sciomyz,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Sepsida,Arthropoda ,1,0,0,0,1,0,1,1,0,0,0
Di_Simulii,Arthropoda ,1,0,1,0,0,1,0,1,0,1,0
Di_Somatid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Sphaero,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Di_Stratio,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Di_Strebli,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Strongy,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Synneur,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Syrphid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Tabanid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Tachini,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Tephrit,Arthropoda ,1,0,0,0,0,1,1,0,0,0,0
Di_Thaumal,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Therevi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Tipulid,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Di_Trichoc,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Ulidiid,Arthropoda ,1,0,1,0,1,1,0,1,0,0,1
Di_Vermile,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Xenaste,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
